Age,Credit_Score,Education_Level,Employment_Status,Has_Dependents,Income,Loan_Purpose,Loan_Value,Married,Prior_Default,Sex,Wtd_Ave_Debt_Interest,Defaulted,Total_Debt
30.8,707,1,Part-Time,N,49885,Credit Card,4230,Single,N,Male,0.1091,Y,4290
32.9,708,2,Full-Time,N,117664,Credit Card,22151,Single,N,Female,0.1291,N,22313
38.4,660,2,Part-Time,N,94090,Auto,11508,Single,N,Male,0.1366,Y,11675
51.9,720,2,Full-Time,N,74016,Mortgage,31774,Single,N,Male,0.123,N,31824
39.1,784,0,Full-Time,N,39514,Medical,9836,Married,N,Male,0.0641,N,9840
35.2,713,2,Full-Time,Y,96734,Credit Card,18714,Married,N,Female,0.1329,N,18829
46.9,636,3,Part-Time,Y,198313,Credit Card,129782,Married,Y,Male,0.1684,Y,130347
48.7,686,2,Full-Time,N,131695,Mortgage,31218,Single,N,Female,0.1513,N,31377
44.6,707,3,Full-Time,Y,60826,Auto,21459,Married,N,Female,0.1177,N,21499
38.2,725,2,Full-Time,Y,67585,Credit Card,15530,Married,N,Male,0.1181,N,15578
25.2,714,0,Full-Time,Y,47124,Credit Card,11769,Married,N,Female,0.1222,Y,11810
28.4,348,2,Full-Tme,Y,433361,Auto,525845,Married,N,Femalee,0.0863,N,526386
52.3,687,2,Full-Time,N,73559,Credit Card,13527,Single,N,Male,0.1284,N,13602
26,802,0,Full-Time,N,63509,Medical,5647,Married,N,Male,0.0714,N,5654
37.4,700,2,Full-Time,Y,88300,Auto,17933,Married,N,Male,0.1439,Y,18056
56.3,650,3,Part-Time,Y,145006,Business,67284,Married,Y,Male,0.1627,Y,67575
29.6,798,1,Full-Time,N,46081,Mortgage,11042,Single,N,Male,0.0923,N,11043
47.9,622,2,Part-Time,N,64437,Credit Card,9135,Single,Y,Female,0.1442,Y,9273
26.5,708,2,Full-Time,Y,42964,Credit Card,4799,Married,N,Male,0.0852,N,4839
30,721,0,Full-Time,Y,38208,Credit Card,5547,Married,N,Non-Binary,0.108,N,5570
29.6,703,2,Part-Time,N,83711,Credit Card,37139,Single,Y,Female,0.1055,Y,37299
38.7,710,2,Part-Time,N,114143,Credit Card,46903,Single,N,Male,0.1452,N,47010
40.7,703,2,Full-Time,N,75894,Mortgage,59326,Single,N,Male,0.1144,N,59363
27.2,714,2,Part-Time,N,54661,Credit Card,27488,Married,N,Female,0.1428,N,27515
49.2,683,2,Full-Time,N,81860,Credit Card,10052,Single,N,Female,0.142,N,10119
29.1,713,3,Full-Time,N,83108,Auto,17267,Single,N,Non-Binary,0.1471,Y,17331
142.1,662,2,Part-Time,Y,139210,Credit Card,19379,Married,N,Non-Binary,0.1482,Y,19689
38.9,751,0,Full-Time,N,37606,Credit Card,3394,Single,N,Male,0.0961,N,3410
41,800,2,Full-Time,N,64181,Credit Card,4943,Single,N,Male,0.0842,N,4953
26,698,1,Full-Time,N,43756,Credit Card,5743,Single,N,Male,0.0901,Y,5792
39.5,680,2,Part-Time,N,184397,Business,57803,Married,Y,Non-Binary,0.1806,Y,58097
44.5,790,3,Full-Time,Y,78427,Medical,6150,Married,N,Female,0.0813,N,6178
57.1,702,2,Full-Time,N,139987,Business,31353,Single,N,Female,0.1513,N,31478
52.6,702,2,Full-Time,Y,113315,Business,35953,Single,N,Female,0.1556,N,36047
27.7,715,2,Full-Time,N,55251,Business,4274,Single,N,Male,0.1086,N,4317
41.5,695,2,Part-Time,Y,99765,Business,22891,Single,N,Female,0.1413,Y,23048
42.2,738,0,Full-Time,Y,64006,Credit Card,6145,Married,N,Male,0.1148,N,6179
34.1,755,2,Full-Time,Y,50572,Credit Card,5626,Married,N,Male,0.0887,N,5643
31.5,697,3,Part-Time,Y,80849,Credit Card,19609,Single,N,Female,0.1235,Y,19717
43.7,628,3,Unemployed,N,174522,Auto,21320,Single,Y,Female,0.1602,Y,21741
43.5,659,2,Full-Time,N,136492,Business,61479,Single,N,Male,0.1414,Y,61776
38.1,680,1,Full-Time,N,36726,Mortgage,4316,Single,N,Female,0.095,N,4348
29.2,726,2,Full-Time,N,68555,Auto,13159,Single,N,Female,0.1211,N,13219
33.9,708,0,Full-Time,Y,37493,Credit Card,2249,Married,N,Non-Binary,0.0822,N,2268
40.2,806,1,Full-Time,Y,42707,Medical,1824,Married,N,Male,0.0835,N,1825
41,656,2,Part-Time,N,122826,Business,36207,Single,Y,Female,0.174,Y,36457
43.8,674,2,Part-Time,Y,75346,Business,64718,Married,Y,Non-Binary,0.1339,Y,64888
40.6,632,1,Part-Time,N,54880,Auto,6626,Single,Y,Female,0.1401,Y,6733
34.3,728,2,Full-Time,N,54158,Mortgage,4693,Single,N,Female,0.1175,N,4728
21.9,735,1,Full-Time,N,43836,Business,6341,Single,N,Male,0.1047,N,6358
52.1,647,2,Part-Time,Y,279248,Credit Card,62381,Married,Y,Female,0.1934,Y,63018
51,751,4,Full-Time,Y,103765,Mortgage,12920,Married,N,Female,0.1374,N,12969
43.4,686,2,Full-Time,N,60165,Business,5429,Single,N,Male,0.1064,N,5486
63.4,712,2,Full-Time,N,211294,Credit Card,415199,Single,N,Female,0.1855,N,415424
28.6,737,1,Full-Time,Y,46578,Credit Card,12583,Married,N,Female,0.1156,N,12593
47.4,390,2,Full-Tme,N,372839,Mortgarage,222413,Married,N,Mail,0.1302,N,222295
53.4,698,3,Full-Time,Y,121917,Mortgage,23781,Married,N,Male,0.1497,N,23875
40.5,772,2,Full-Time,N,78573,Mortgage,35807,Single,N,Female,0.1206,N,35816
36.3,739,2,Full-Time,N,87839,Business,32406,Married,N,Male,0.136,N,32457
23.4,763,2,Full-Time,N,65367,Auto,6409,Single,N,Female,0.0805,N,6441
36.6,728,1,Full-Time,N,45852,Medical,9040,Single,N,Male,0.0752,N,9056
42.5,757,2,Full-Time,N,61901,Medical,11112,Single,N,Male,0.0974,N,11124
42.3,733,2,Full-Time,N,85689,Auto,19825,Single,N,Non-Binary,0.106,N,19920
39.4,678,4,Part-Time,N,148599,Auto,44162,Married,Y,Female,0.1699,Y,44459
40.4,704,2,Full-Time,N,127139,Credit Card,33945,Married,N,Male,0.1772,N,34038
35.9,724,2,Full-Time,Y,67079,Auto,8549,Married,N,Male,0.1232,N,8577
34.5,725,2,Full-Time,Y,56015,Credit Card,8785,Married,N,Female,0.0806,N,8839
57.8,617,2,Part-Time,Y,96150,Credit Card,17565,Married,Y,Female,0.1779,Y,17794
37.5,735,3,Full-Time,N,58934,Business,6599,Single,N,Male,0.121,N,6625
21.1,724,2,Part-Time,Y,64272,Auto,9087,Married,Y,Male,0.1167,Y,9177
31.2,689,1,Full-Time,N,64513,Credit Card,6242,Single,N,Male,0.1244,Y,6337
35.8,701,1,Full-Time,Y,60892,Mortgage,8528,Married,N,Male,0.1184,N,8595
36.4,680,2,Full-Time,N,53465,Credit Card,14578,Single,N,Male,0.1214,N,14629
28.1,796,2,Full-Time,N,75919,Mortgage,9222,Single,N,Male,0.0878,N,9251
33.3,710,1,Full-Time,Y,50347,Credit Card,4309,Single,N,Male,0.0928,N,4366
49.4,731,2,Full-Time,Y,72370,Mortgage,9427,Married,N,Male,0.1075,N,9471
34.8,708,2,Full-Time,N,41366,Credit Card,3080,Single,N,Female,0.0882,N,3108
51.4,656,2,Part-Time,Y,175697,Auto,160520,Married,Y,Female,0.1766,Y,160950
49,648,2,Part-Time,N,128381,,65926,Single,Y,Male,0.1635,Y,66153
38.1,654,2,Full-Time,N,72779,Credit Card,12182,Single,N,Male,0.1341,Y,12305
57.3,623,2,Part-Time,N,97134,Auto,26418,Single,Y,Female,0.1708,Y,26630
37.8,311,2,Full-Tme,Y,267514,Credit Crad,236159,Married,N,Femalee,0.1117,N,236458
57.1,642,3,Part-Time,N,122126,Credit Card,44743,Married,N,Male,0.1655,Y,45045
40.8,692,2,Full-Time,Y,72747,Credit Card,6880,Single,N,Male,0.1325,N,6923
49.7,639,2,Unemployed,N,161034,Credit Card,51863,Single,N,Male,0.1868,Y,52264
38.2,712,0,Full-Time,Y,47019,Mortgage,9506,Married,N,Male,0.0739,N,9549
33.8,761,3,Full-Time,N,43598,Medical,3421,Married,N,Male,0.0802,N,3429
20.1,766,1,Full-Time,N,35232,Mortgage,9558,Single,N,Male,0.0871,N,9564
51.8,678,2,Full-Time,Y,115489,Business,14671,Married,N,Female,0.1435,N,14835
32.8,729,2,Full-Time,Y,37875,Credit Card,2582,Married,N,Female,0.1175,N,2588
28,751,2,Full-Time,Y,78126,Auto,8545,Single,N,Male,0.0857,N,8616
44,700,2,Full-Time,N,79485,Credit Card,9476,Married,N,Male,0.1457,N,9551
37.5,651,2,Part-Time,N,87143,Credit Card,9113,Married,Y,Male,0.1496,Y,9275
37.9,727,2,Full-Time,N,90671,Credit Card,9865,Single,N,Non-Binary,0.1327,N,9930
58.6,692,4,Full-Time,N,153521,Auto,18854,Single,N,Female,0.1898,N,18949
40.6,702,2,Full-Time,N,85832,Mortgage,17681,Single,N,Male,0.1653,N,17730
28.8,725,2,Full-Time,N,16539,Mortgage,1422,Single,N,Non-Binary,0.0624,N,1427
19.9,809,0,Full-Time,Y,23933,Credit Card,859,Single,N,Male,0.0508,N,859
38.2,721,0,Full-Time,N,35124,Mortgage,1850,Single,N,Female,0.0556,N,1863
25.2,723,2,Part-Time,Y,75906,Auto,10947,Single,Y,Male,0.1379,Y,11022
50.4,724,2,Full-Time,N,74029,Mortgage,23017,Single,N,Female,0.1246,N,23049
31.8,750,2,Full-Time,N,75001,Credit Card,9563,Single,N,Female,0.1367,N,9620
37.5,704,2,Full-Time,Y,94776,Credit Card,18862,Married,N,Male,0.1583,Y,18960
34.2,779,2,Full-Time,N,83248,Mortgage,7623,Single,N,Male,0.1053,N,7638
49.8,719,2,Full-Time,Y,118198,Credit Card,48897,Married,N,Female,0.1342,N,49017
28.7,755,1,Full-Time,N,37849,Mortgage,9168,Married,N,Female,0.0736,N,9174
56.1,505,2,Full-Tme,Y,437967,Auto,364445,Married,N,Mail,0.1394,N,364611
24.4,715,2,Full-Time,N,49971,Business,2746,Single,N,Female,0.0935,N,2782
34.3,727,0,Full-Time,Y,36989,Auto,2599,Married,N,Female,0.1116,N,2622
35.2,707,0,Full-Time,N,69136,Credit Card,29634,Single,N,Female,0.0838,N,29692
44.2,647,2,Part-Time,N,81574,Credit Card,7984,Single,N,Male,0.1449,Y,8159
45.6,698,3,Full-Time,Y,114881,Business,36953,Married,N,Male,0.1395,N,37113
31.2,705,2,Part-Time,N,49536,Auto,13005,Single,N,Female,0.1212,N,13039
43.8,645,2,Part-Time,N,167056,Business,36280,Single,Y,Male,0.1748,Y,36624
36.5,760,2,Full-Time,N,46801,Mortgage,6790,Single,N,Female,0.0793,N,6799
40.3,721,2,Full-Time,N,72007,Business,10888,Married,N,Non-Binary,0.1041,N,10928
25.6,680,3,,N,144223,Credit Card,93601,Single,N,Male,0.1781,Y,93770
27.7,780,1,Full-Time,N,44984,Business,6677,Single,N,Female,0.1291,N,6681
27.4,775,3,Full-Time,N,41613,Medical,3636,Single,N,Female,0.0836,N,3639
57.8,692,2,Full-Time,N,132630,Credit Card,12313,Single,N,Female,0.1594,N,12442
35.8,688,2,Full-Time,N,64965,Auto,16460,Single,N,Male,0.1279,Y,16546
36.2,773,0,Full-Time,N,38239,Medical,10235,Single,N,Male,0.071,N,10240
39,714,2,Part-Time,Y,82956,Business,8946,Married,N,Male,0.102,N,9062
36.3,637,3,Unemployed,N,187247,Credit Card,49085,Single,Y,Female,0.2023,Y,49531
19.1,799,1,Full-Time,Y,16183,Medical,1493,Single,N,Female,0.0352,N,1493
33.6,645,2,Part-Time,N,46951,Business,3968,Single,Y,Female,0.1349,Y,4060
49.3,666,2,Part-Time,N,157127,Mortgage,27156,Single,N,Female,0.1646,Y,27444
38,714,4,Full-Time,N,51436,Auto,4498,Married,N,Female,0.1209,N,4532
24.2,797,0,Full-Time,N,38339,Medical,5585,Married,N,Male,0.1144,N,5586
48.6,727,2,Full-Time,N,69302,Medical,23533,Single,N,Male,0.1322,N,23547
31.6,709,1,Full-Time,Y,40012,Credit Card,4002,Single,N,Female,0.1205,N,4021
42.4,681,2,Full-Time,N,66421,Auto,7500,Single,N,Male,0.1392,Y,7583
46.7,733,2,Full-Time,Y,176688,Auto,87411,Married,N,Male,0.1389,N,87597
28.7,758,3,Full-Time,Y,40639,Credit Card,1156,Single,N,Female,0.0594,N,1178
26.6,747,0,Full-Time,N,32958,Credit Card,10428,Single,N,Male,0.0934,N,10433
45.8,718,2,Full-Time,N,91983,Credit Card,28767,Single,N,Female,0.1413,N,28827
19.8,763,2,Full-Time,N,65456,Business,9854,Married,N,Female,0.0965,N,9894
42.3,690,2,Full-Time,N,69660,Credit Card,16498,Single,N,Male,0.1517,Y,16580
51.5,690,2,Part-Time,Y,143203,Credit Card,22557,Married,N,Female,0.151,Y,22821
50.2,694,2,Full-Time,N,133466,Business,71252,Single,N,Female,0.1705,N,71460
35.1,711,2,Full-Time,N,91827,Auto,21080,Single,N,Male,0.1571,N,21132
35.7,766,2,Full-Time,Y,18351,Medical,135,Married,N,Male,0.041,N,137
41.7,787,2,Full-Time,Y,46670,Mortgage,2614,Married,N,Non-Binary,0.0559,N,2620
23.2,737,0,Full-Time,N,41193,Credit Card,5599,Single,N,Male,0.0794,N,5624
40.9,685,4,Part-Time,N,74968,Credit Card,11240,Married,N,Male,0.1542,N,11298
24.2,727,0,Full-Time,N,24103,Medical,1162,Single,N,Female,0.0652,N,1169
24.7,708,0,Full-Time,Y,47370,Auto,10995,Married,N,Female,0.1159,N,11015
35,707,2,Full-Time,N,51641,Auto,9867,Single,N,Male,0.0966,N,9928
40.3,713,2,Full-Time,Y,104603,Business,24071,Married,N,Female,0.1396,N,24179
42.6,688,1,Full-Time,Y,58510,Credit Card,11982,Married,N,Male,0.1313,N,12021
46.6,708,1,Full-Time,Y,69878,Auto,11230,Married,N,Female,0.1377,N,11282
44.9,696,2,Full-Time,N,61508,Credit Card,10971,Married,N,Female,0.1208,N,11011
48.5,631,2,Part-Time,Y,75292,Business,34013,Married,N,Male,0.1607,Y,34128
45.1,722,2,Full-Time,N,58671,Credit Card,7228,Married,N,Male,0.1084,N,7269
32,682,2,Part-Time,Y,108326,Credit Card,21121,Married,Y,Male,0.1529,Y,21265
31.6,730,1,Full-Time,N,76736,Mortgage,8244,Married,N,Female,0.1228,N,8280
34.4,677,2,Part-Time,N,76475,Credit Card,14620,Single,Y,Male,0.1302,Y,14740
28.1,691,2,Full-Time,Y,77385,Credit Card,17965,Single,N,Female,0.153,N,18037
45.5,739,2,Full-Time,N,76546,Credit Card,11718,Single,N,Female,0.1078,N,11787
36.8,670,3,Part-Time,N,155517,Auto,38696,,Y,Female,0.1581,Y,39040
59.4,680,2,Part-Time,N,152062,Mortgage,80929,Married,N,Male,0.1453,Y,81175
45.1,699,1,Full-Time,Y,45968,Auto,7607,Single,N,Male,0.1234,N,7632
38.5,694,2,Full-Time,Y,62177,Mortgage,8118,Married,N,Female,0.1314,N,8178
42.2,698,2,Full-Time,N,93072,Mortgage,20789,Married,N,Male,0.1253,N,20916
37.2,688,1,Full-Time,N,61118,Credit Card,5603,Married,N,Female,0.1185,Y,5674
23.4,729,2,Full-Time,Y,48677,Credit Card,9952,Married,N,Non-Binary,0.0958,N,9984
26.8,745,0,Full-Time,N,33366,Mortgage,2115,Single,N,Non-Binary,0.0974,N,2120
61,603,2,Unemployed,N,245335,Auto,156492,Single,Y,Female,0.2063,Y,157254
56.2,718,3,Full-Time,Y,158789,Credit Card,32777,Married,N,Male,0.1494,N,32890
44.3,682,3,Full-Time,Y,62169,Credit Card,4638,Married,N,Male,0.1221,N,4704
24.6,726,0,Part-Time,Y,40217,Auto,8896,Married,N,Female,0.1015,Y,8933
39.8,763,2,Full-Time,N,29298,Credit Card,2060,Single,N,Non-Binary,0.0721,N,2061
25.7,822,0,Full-Time,Y,41446,Medical,2405,Married,N,Female,0.0727,N,2406
47.5,775,4,Full-Time,N,68758,Medical,6619,Single,N,Female,0.0824,N,6622
33.1,757,2,Full-Time,N,74000,Mortgage,17523,Married,N,Female,0.1298,N,17542
20.7,726,1,Full-Time,N,31700,Credit Card,2010,Married,N,Female,0.0691,N,2042
25.5,590,2,Part-Time,N,80209,Business,12223,Married,Y,Non-Binary,0.1715,Y,12486
39.1,660,1,Full-Time,N,66166,Auto,4816,Single,N,Male,0.1278,Y,4911
42.5,701,1,Full-Time,Y,58170,Auto,4060,Married,N,Male,0.1161,N,4111
47.1,678,3,Part-Time,Y,125303,Business,31401,Married,N,Male,0.1444,N,31594
33.1,749,1,Full-Time,Y,62640,Business,12163,Married,N,Female,0.1101,N,12185
33.3,799,1,Full-Time,N,78361,Medical,19649,Single,N,Female,0.123,N,19655
42.7,708,2,Full-Time,Y,80499,Business,20736,Married,N,Male,0.1293,N,20810
32.8,760,0,Full-Time,N,38642,Credit Card,1344,Married,N,Female,0.0917,N,1353
36.2,709,2,Full-Time,Y,81173,Auto,5930,Single,N,Female,0.1134,N,6043
44,651,2,Full-Time,N,81407,Credit Card,12591,Single,N,Female,0.1412,Y,12723
29.1,768,2,Full-Time,N,50581,Credit Card,5117,Single,N,Female,0.107,N,5131
51.6,745,2,Full-Time,Y,127431,Credit Card,32477,Single,N,Female,0.1371,N,32597
35.7,697,1,Full-Time,N,36592,Credit Card,2678,Single,N,Male,0.1016,N,2706
43.3,666,2,Full-Time,N,51430,Credit Card,5025,Married,N,Male,0.135,N,5061
26.9,700,2,Part-Time,N,33528,Credit Card,2136,Single,N,Female,0.1081,Y,2162
33,,2,Pert-Time,Y,520891,Credit Crad,461254,Single,N,Femalee,0.1241,Y,461920
22.6,828,0,Full-Time,N,20513,Mortgage,841,Married,N,Male,0.0442,N,842
27,717,1,Full-Time,N,44705,Business,3597,Single,N,Female,0.1229,N,3625
19.8,671,1,Part-Time,Y,54876,Auto,3011,Married,N,Male,0.1102,Y,3073
51,655,2,Part-Time,Y,103199,Credit Card,15974,Married,N,Male,0.1697,Y,16154
35.9,759,2,Full-Time,N,65692,Auto,4747,Single,N,Male,0.0998,N,4775
32,723,1,Full-Time,Y,40722,Business,5472,Married,N,Male,0.1073,N,5497
32.2,677,2,Full-Time,Y,57220,Business,12769,Married,N,Female,0.1099,N,12840
38.5,754,2,Full-Time,N,78999,Medical,26835,Single,N,Non-Binary,0.0982,N,26886
42.9,738,4,Full-Time,Y,85595,Business,8059,Single,N,Male,0.1025,N,8142
40.5,806,3,Full-Time,N,68985,Mortgage,22842,Single,N,Male,0.1381,N,22848
37.2,675,3,Part-Time,N,109095,Auto,15472,Married,N,Female,0.147,N,15631
44.8,660,2,Part-Time,Y,122989,Business,90757,Married,Y,Female,0.1323,Y,91055
30.5,678,2,Unemployed,N,50875,Business,2588,Single,Y,Female,0.1382,Y,2653
28.1,756,2,Full-Time,N,68426,Auto,4214,Single,N,Non-Binary,0.091,N,4251
35.8,696,3,Full-Time,N,83007,Auto,31006,Married,N,Female,0.1267,N,31103
44.3,677,2,Part-Time,Y,93148,Business,25161,Married,N,Non-Binary,0.1255,Y,25320
32.4,,0,Full-Time,Y,32492,Medical,2745,Married,N,Female,0.0573,N,2745
34.4,692,1,Full-Time,N,42187,Mortgage,14594,Single,N,Female,0.0925,N,14628
34.4,770,1,Full-Time,Y,46648,Auto,5440,Married,N,Male,0.0973,N,5450
28,685,2,Part-Time,Y,81831,Business,30803,Married,Y,Male,0.1408,Y,30931
35.4,710,0,Part-Time,N,46175,Credit Card,4690,Single,N,Male,0.1181,N,4740
52.1,664,2,Part-Time,N,143702,Credit Card,121836,Married,N,Female,0.1905,N,122001
23.2,723,2,Full-Time,N,27731,Auto,1692,Single,N,Female,0.0809,N,1709
37.9,687,2,Part-Time,N,73390,Auto,9695,Single,N,Non-Binary,0.128,Y,9796
33.3,757,2,Full-Time,N,49718,Auto,26202,Married,N,Female,0.1038,N,26224
31.2,998,2,Prat-Time,N,197778,Credit Crad,105613,Married,N,Femalee,0.1255,N,105445
28.5,660,2,Part-Time,N,48012,Credit Card,14061,Single,Y,Non-Binary,0.1455,Y,14131
26.7,722,2,Full-Time,Y,50117,Mortgage,8288,Single,N,Male,0.0874,N,8314
59.7,685,3,Full-Time,N,113371,Business,29561,Single,N,Non-Binary,0.1299,N,29688
31.9,633,2,Part-Time,N,51216,Auto,8394,Married,N,Female,0.1203,Y,8513
25.7,686,2,Part-Time,N,100605,Mortgage,33400,Married,N,Male,0.1416,Y,33541
30.6,788,2,Full-Time,Y,58136,Medical,4056,Married,N,Male,0.0925,N,4061
32.2,742,2,Full-Time,N,40087,Medical,12534,Single,N,Male,0.0753,N,12548
28.4,707,2,Full-Time,N,69451,Credit Card,11093,Single,N,Female,0.1073,N,11149
46.2,665,2,Part-Time,N,95692,Auto,20145,Single,Y,Female,0.1636,Y,20295
27,713,0,Full-Time,N,33118,Credit Card,1755,Single,N,Male,0.0785,N,1781
24.2,794,0,Full-Time,Y,35286,Medical,2988,Married,N,Male,0.0487,N,2991
23,753,2,Full-Time,N,88601,Credit Card,10990,Single,N,Female,0.1075,N,11022
42.9,689,2,Part-Time,N,108772,Credit Card,23662,Single,Y,Female,0.1691,Y,23819
30,,3,Full-Time,N,42254,Mortgage,8391,Single,N,Female,0.0886,N,8404
19.2,724,0,Full-Time,N,25160,Mortgage,1266,Single,N,Female,0.0736,N,1281
40,659,2,Part-Time,Y,100901,Credit Card,40724,Single,Y,Female,0.1721,Y,40872
29,713,1,Full-Time,N,59780,Credit Card,11435,Single,N,Male,0.0949,N,11484
39,664,2,Part-Time,N,65074,Auto,8892,Single,Y,Male,0.1598,Y,8992
27.7,727,2,Full-Time,Y,38363,Credit Card,3091,Single,N,Male,0.0897,N,3107
49.5,765,2,Full-Time,Y,54016,Medical,16631,Single,N,Male,0.1372,N,16636
32.9,703,1,Full-Time,Y,40573,Credit Card,4938,Married,N,Male,0.1041,N,4969
46.3,380,2,Full-Tme,N,151710,Auto,18412,Single,N,Femalee,0.1158,N,18384
32.4,713,2,Full-Time,N,115632,Credit Card,93595,Married,N,Female,0.1186,N,93757
24.9,754,2,Full-Time,Y,77153,Medical,10119,Single,N,Female,0.0853,N,10159
39.1,658,2,Part-Time,Y,65729,Credit Card,15553,Married,Y,Male,0.1142,Y,15680
25.5,717,2,Full-Time,Y,46413,Credit Card,11417,Married,N,Female,0.0985,N,11460
37.9,750,1,Full-Time,Y,51514,Medical,2919,Married,N,Male,0.0994,N,2925
32.8,710,2,Part-Time,Y,62771,Credit Card,5516,Married,N,Female,0.1124,Y,5599
42.3,637,2,Unemployed,Y,243364,Credit Card,254671,Married,Y,Male,0.192,Y,255415
30.9,728,2,Full-Time,Y,65636,Mortgage,8185,Married,N,Female,0.114,N,8218
32,677,2,Part-Time,N,55925,Auto,5317,Married,N,Female,0.132,Y,5393
35.9,683,3,Part-Time,N,66135,Auto,4811,Single,N,Female,0.1271,Y,4911
45.9,668,2,Full-Time,N,99971,Credit Card,9994,Single,N,Non-Binary,0.1537,N,10140
23.5,756,1,Full-Time,Y,44134,Mortgage,5648,Married,N,Male,0.0691,N,5659
45.1,686,2,Part-Time,N,138947,Credit Card,52126,Single,N,Female,0.1618,Y,52368
40.2,772,2,Full-Time,N,70147,Medical,12301,Single,N,Female,0.111,N,12309
46.4,690,2,Full-Time,Y,128216,Credit Card,69044,Married,N,Non-Binary,0.1679,N,69156
33.6,661,1,Full-Time,Y,81170,Credit Card,38872,Married,N,Non-Binary,0.141,Y,39010
20.6,772,2,Full-Time,N,54244,Mortgage,2942,Married,N,Female,0.063,N,2962
25.4,721,2,Full-Time,N,58537,Credit Card,19188,Married,N,Non-Binary,0.0924,N,19238
50.7,642,2,Part-Time,Y,133912,Auto,52003,Married,Y,Female,0.1729,Y,52220
48.8,668,2,Part-Time,Y,155273,Auto,144657,Married,Y,Male,0.1689,Y,144936
45.8,675,2,Full-Time,Y,54206,Credit Card,4407,Married,N,Female,0.1223,N,4478
41.4,748,2,Full-Time,N,116141,Business,17535,Married,N,Female,0.1339,N,17578
39.2,782,2,Full-Time,N,54959,Medical,2416,Married,N,Female,0.1011,N,2419
22.5,789,1,Full-Time,Y,37660,Mortgage,4255,Married,N,Non-Binary,0.0832,N,4259
22.8,726,0,Full-Time,N,45467,Business,3514,Married,N,Female,0.0947,N,3548
42,,2,Full-Time,Y,55999,Medical,3449,Married,N,Female,0.0794,N,3454
49.2,673,2,Full-Time,N,163551,Credit Card,69547,Single,N,Female,0.1607,Y,69824
27.3,747,3,Full-Time,Y,79655,Auto,5076,Married,N,Female,0.1336,N,5115
35.1,705,2,Full-Time,N,104391,Auto,15256,Single,N,Female,0.1348,Y,15387
27.2,729,3,Full-Time,N,39301,Credit Card,1545,Single,N,Female,0.0632,N,1573
35.6,761,1,Full-Time,N,49631,Mortgage,2217,Single,N,Male,0.0819,N,2228
42.3,767,2,Full-Time,N,116645,Credit Card,16327,Single,N,Male,0.1298,N,16353
39.3,662,2,Part-Time,N,128599,Auto,34728,Single,N,Female,0.1562,Y,35016
42.6,677,2,Full-Time,N,57168,Credit Card,15687,Single,N,Male,0.1281,N,15746
42.4,662,2,Part-Time,Y,94175,Credit Card,26606,Single,Y,Female,0.1525,Y,26781
18.1,771,1,Full-Time,N,17695,Medical,2536,Married,N,Female,0.0788,N,2537
56.9,699,2,Full-Time,N,139661,Auto,107278,Single,N,Female,0.1651,N,107469
49.3,705,2,Unemployed,Y,210460,Credit Card,128450,Married,Y,Female,0.1848,Y,128856
62.7,645,2,Full-Time,Y,130543,Mortgage,42603,Married,N,Female,0.1277,N,42861
21,752,2,Full-Time,Y,48007,Mortgage,7836,Married,N,Female,0.1094,N,7841
21.7,669,2,Part-Time,Y,101976,Business,29117,Single,N,Female,0.1316,Y,29335
53.1,674,2,Part-Time,Y,152740,Business,37327,Single,N,Female,0.1667,N,37575
46.2,647,2,Unemployed,N,94200,Credit Card,40819,Single,Y,Female,0.1309,Y,41037
27.4,816,0,Full-Time,N,35389,Medical,1377,Single,N,Female,0.0702,N,1378
35.1,708,1,Part-Time,Y,38895,Credit Card,2118,Married,N,Male,0.0935,Y,2169
37.8,732,1,Full-Time,N,62953,Medical,28137,Married,N,Male,0.0879,N,28170
60,588,2,Part-Time,Y,140071,Business,41200,Married,Y,Female,0.19,Y,41572
32.3,670,2,Part-Time,Y,77233,Credit Card,4175,Married,Y,Female,0.1556,Y,4299
33.4,677,2,Full-Time,Y,55743,Auto,6525,Married,N,Male,0.1292,N,6592
49.9,718,2,Full-Time,Y,48677,,4976,Married,N,Female,0.1092,N,5008
29.2,730,1,Full-Time,Y,,Mortgage,19776,Married,N,Female,0.1062,N,19776
33.6,672,2,Part-Time,N,50539,Credit Card,5874,Single,N,Female,0.1361,Y,5927
31.7,689,3,Part-Time,N,57204,Credit Card,8181,Single,N,Male,0.11,N,8248
46.4,625,2,Unemployed,N,152064,Credit Card,97117,Single,Y,Female,0.1969,Y,97475
47.5,726,3,Full-Time,N,60403,Medical,6567,Single,N,Male,0.1176,N,6594
45.9,732,2,Full-Time,N,66109,Business,7429,,N,Male,0.1214,N,7474
28.9,739,2,Full-Time,N,61067,Medical,29833,Single,N,Male,0.1013,N,29854
23.4,745,1,Full-Time,Y,36983,Medical,10395,Married,N,Non-Binary,0.0878,N,10399
39.4,708,3,Part-Time,Y,56196,Credit Card,10737,,N,Male,0.1075,N,10780
46,687,2,Part-Time,N,127832,Credit Card,27779,Single,Y,Non-Binary,0.1553,Y,27950
26.6,724,0,Full-Time,Y,45623,Medical,4579,Married,N,Male,0.0841,N,4594
30.4,764,2,Full-Time,N,52994,Medical,10110,Married,N,Non-Binary,0.0924,N,10115
48.9,718,2,Full-Time,Y,48785,Credit Card,4760,Married,N,Female,0.1046,N,4793
